timeframe_minutes,session_start_date,c1_start_new_york,c2_start_new_york,confirmation_new_york,direction,c1_high,c1_low,midpoint,c2_high,c2_low,c2_close,target,target_hit_new_york,target_hit_same_session,session_end_new_york,historical_right_edge_new_york
15,2026-08-03,2026-08-03 20:30:00-04:00,2026-08-03 20:45:00-04:00,2026-08-03 21:00:00-04:00,bearish,28906.75,28864.0,28885.375,28909.0,28868.5,28877.25,28864.0,2026-08-03 21:00:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-03 23:00:00-04:00,2026-08-03 23:15:00-04:00,2026-08-03 23:30:00-04:00,bullish,28993.0,28932.0,28962.5,28986.25,28930.0,28977.0,28993.0,2026-08-03 23:32:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-03 23:15:00-04:00,2026-08-03 23:30:00-04:00,2026-08-03 23:45:00-04:00,bearish,28986.25,28930.0,28958.125,29005.0,28957.5,28968.0,28930.0,,False,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-03 23:30:00-04:00,2026-08-03 23:45:00-04:00,2026-08-04 00:00:00-04:00,bearish,29005.0,28957.5,28981.25,29008.0,28958.0,28995.5,28957.5,,False,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-04 02:00:00-04:00,2026-08-04 02:15:00-04:00,2026-08-04 02:30:00-04:00,bearish,29094.0,29067.0,29080.5,29099.0,29076.25,29081.75,29067.0,2026-08-04 02:35:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-04 03:00:00-04:00,2026-08-04 03:15:00-04:00,2026-08-04 03:30:00-04:00,bearish,29100.75,29037.25,29069.0,29109.0,29062.5,29099.0,29037.25,2026-08-04 05:06:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-04 03:15:00-04:00,2026-08-04 03:30:00-04:00,2026-08-04 03:45:00-04:00,bearish,29109.0,29062.5,29085.75,29118.25,29074.25,29081.5,29062.5,2026-08-04 04:36:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-04 03:45:00-04:00,2026-08-04 04:00:00-04:00,2026-08-04 04:15:00-04:00,bearish,29109.75,29065.75,29087.75,29124.75,29067.0,29108.5,29065.75,2026-08-04 04:34:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-04 04:00:00-04:00,2026-08-04 04:15:00-04:00,2026-08-04 04:30:00-04:00,bearish,29124.75,29067.0,29095.875,29132.25,29096.75,29111.5,29067.0,2026-08-04 04:34:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
15,2026-08-03,2026-08-04 04:30:00-04:00,2026-08-04 04:45:00-04:00,2026-08-04 05:00:00-04:00,bullish,29111.0,29060.0,29085.5,29077.75,29037.75,29069.25,29111.0,2026-08-04 06:14:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
