time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1
1785772260,28788,28791.5,28776,28786.5,28592.31380947609,28705.574520467922,28479.05309848426
1785772320,28786.75,28792.25,28783,28791,28592.536869001,28705.92641558353,28479.14732241847
1785772380,28790.25,28813,28788,28807,28593.31477952603,28707.21143611968,28479.41812293238
1785772440,28806.75,28813,28804,28804.25,28593.809608926884,28708.037250035857,28479.58196781791
1785772500,28804.75,28806.25,28794.5,28800.25,28594.297635380077,28708.830040667548,28479.765230092606
1785772560,28800.25,28802,28790,28790.5,28594.620579423594,28709.341627323916,28479.89953152327
1785772620,28790,28793.75,28779.25,28786,28595.14477068694,28710.145435543734,28480.144105830146
1785772680,28785.75,28794.25,28781,28788.75,28595.444968713233,28710.607338060563,28480.282599365903
1785772740,28788.75,28796.5,28782,28792,28595.74850263909,28711.07720816933,28480.41979710885
1785772800,28792.25,28809,28792.25,28799.25,28596.25773270544,28711.892559730008,28480.62290568087
1785772860,28799.5,28806,28790.25,28802,28596.64970235039,28712.516407031813,28480.782997668968
1785772920,28802.5,28806.5,28797.25,28803.5,28596.901394467488,28712.92035148038,28480.882437454595
1785772980,28803.5,28809.75,28802.75,28807.75,28597.088479167494,28713.2247035093,28480.95225482569
1785773040,28807.5,28827.5,28805.5,28806.25,28597.74082327372,28714.305676149113,28481.17597039833
1785773100,28806.5,28821.5,28805.75,28817.5,28598.15055426037,28714.9861068791,28481.31500164164
1785773160,28818,28820.5,28812,28814.5,28598.453175371244,28715.48859012759,28481.4177606149
1785773220,28814.5,28817,28808.75,28809.5,28598.74427953619,28715.964590553103,28481.523968519276
1785773280,28809.75,28820.75,28800.25,28802.75,28599.146136024203,28716.611445905408,28481.680826142998
1785773340,28802.75,28814.5,28799.5,28812.75,28599.494954200287,28717.17335015315,28481.816558247425
1785773400,28813,28814,28803.25,28809.75,28599.75757741215,28717.595591208566,28481.919563615735
1785773460,28810,28813.75,28803,28805.75,28599.967680663463,28717.931052571068,28482.00430875586
1785773520,28805.75,28810.5,28800.75,28810,28600.180931328512,28718.270522911247,28482.091339745777
1785773580,28810,28812.5,28802.5,28809,28600.38479762993,28718.59561554487,28482.17397971499
1785773640,28809,28818.75,28804.5,28814.25,28600.703655347068,28719.111106775297,28482.29620391884
1785773700,28813.75,28820,28812.25,28817,28600.94143233001,28719.49987878844,28482.382985871584
1785773760,28817,28833.5,28816.5,28825.25,28601.437384174882,28720.331964955152,28482.542803394612
1785773820,28825.25,28838,28824.5,28835.5,28601.805028950163,28720.961736259254,28482.64832164107
1785773880,28835.75,28845.75,28830.75,28842.75,28602.257830814233,28721.75192619833,28482.763735430137
1785773940,28843.25,28847.5,28840.5,28845.25,28602.67883571138,28722.49447403734,28482.86319738542
1785774000,28845.5,28846.75,28831.25,28832,28603.082049134588,28723.1871423035,28482.976955965674
1785774060,28832,28839.25,28830.75,28835.25,28603.39962576549,28723.728610850583,28483.0706406804
1785774120,28835.25,28841,28834.75,28840.5,28603.61201281033,28724.09412178711,28483.129903833546
1785774180,28841,28844.5,28834.25,28836.25,28603.886898203204,28724.565747497185,28483.208048909222
1785774240,28836.25,28836.25,28827,28833.5,28604.219277957138,28725.124119177482,28483.314436736793
1785774300,28833,28839.5,28833,28836.5,28604.457720701914,28725.52899368605,28483.386447717778
1785774360,28836.75,28838.25,28825.5,28829,28604.87742258354,28726.227971575176,28483.526873591905
1785774420,28829.5,28840,28828.25,28836,28605.190413706485,28726.754204402452,28483.626623010518
1785774480,28836,28838.75,28831.75,28835,28605.374671759466,28727.063850518858,28483.685493000074
1785774540,28835,28839.75,28834,28837,28605.52283275297,28727.313900318575,28483.731765187364
1785774600,28837,28842.5,28835.75,28841,28605.728249307635,28727.663180831816,28483.793317783453
1785774660,28841.25,28845,28837.75,28840,28605.97880311628,28728.090033583623,28483.867572648935
1785774720,28840,28843.75,28823.25,28834.25,28606.47248872966,28728.91037859344,28484.034598865885
1785774780,28834.5,28838.25,28832.5,28835.75,28606.672016463526,28729.24295216808,28484.101080758974
1785774840,28836,28842.5,28835,28835.25,28606.831287335,28729.509825885463,28484.152748784538
1785774900,28835,28837.5,28825.5,28835,28607.122652363076,28729.98974493197,28484.255559794183
1785774960,28835.5,28838.75,28827.25,28827.75,28607.35147677562,28730.364253292737,28484.338700258504
1785775020,28828.25,28830.25,28821.5,28823,28607.591647018282,28730.748594910863,28484.4346991257
1785775080,28823.25,28826.75,28814.5,28826.5,28607.941695115267,28731.30324855102,28484.580141679515
1785775140,28826,28830.25,28816,28822.25,28608.22025148223,28731.744047009786,28484.696455954676
1785775200,28822,28829.25,28820.75,28826,28608.47842269805,28732.155300784616,28484.80154461148
1785775260,28825.5,28828,28819.75,28823.25,28608.64480002356,28732.418458507575,28484.87114153955
1785775320,28823,28823,28810,28815.5,28608.936919959677,28732.867905836058,28485.005934083296
1785775380,28815.5,28829.25,28811.75,28827.5,28609.2541266159,28733.366418099948,28485.14183513185
1785775440,28827.5,28835.25,28826.75,28834,28609.58251476179,28733.897399922007,28485.267629601574
1785775500,28834,28837,28830.5,28833,28609.822529555822,28734.286626348432,28485.358432763212
1785775560,28832.75,28842.75,28830.75,28837.75,28610.129362713025,28734.789031431974,28485.469693994077
1785775620,28837.75,28837.75,28830.5,28833,28610.367025470543,28735.17330319368,28485.560747747408
1785775680,28833,28836,28831.25,28834.25,28610.510111949374,28735.404418150047,28485.6158057487
1785775740,28834.25,28838,28832.25,28832.75,28610.65975842184,28735.64628004644,28485.67323679724
1785775800,28832.75,28842,28832,28840.75,28610.821057379504,28735.909998515723,28485.732116243285
1785775860,28841.25,28843,28828.25,28830.25,28611.14502630657,28736.431324867233,28485.85872774591
1785775920,28830.5,28831,28820,28822.75,28611.47270004267,28736.941379873595,28486.00402021174
1785775980,28823,28832.25,28819.5,28829.75,28611.71797889557,28737.325832899794,28486.110124891344
1785776040,28830,28834.75,28821,28822.75,28611.925794913903,28737.64996250078,28486.201627327027
1785776100,28823,28830,28819.75,28822.75,28612.137776177136,28737.977854194683,28486.29769815959
1785776160,28822.5,28829.25,28820.75,28827.5,28612.279817817507,28738.19857278913,28486.361062845885
1785776220,28826.75,28833.25,28824.25,28832,28612.458556416732,28738.479822306814,28486.43729052665
1785776280,28832.5,28834.5,28825.75,28826.75,28612.64351941083,28738.76969446491,28486.51734435675
1785776340,28826.5,28827.5,28820,28821.75,28612.82954585076,28739.054988885495,28486.604102816025
1785776400,28823,28827.5,28812.75,28816,28613.18669210867,28739.593356677877,28486.780027539462
1785776460,28816,28827.25,28815,28822,28613.43037088581,28739.96348064258,28486.89726112904
1785776520,28822,28832.75,28818.25,28827.25,28613.679275146318,28740.34717223923,28487.011378053405
1785776580,28827,28827.25,28815,28822.75,28613.917445465002,28740.708070894827,28487.126820035177
1785776640,28822.75,28828,28818.25,28827.5,28614.084133820314,28740.962936283166,28487.20533135746
1785776700,28827.5,28833.75,28824.25,28829,28614.315241657903,28741.32128386745,28487.309199448355
1785776760,28829,28831,28826,28831,28614.451778375584,28741.532977115745,28487.370579635422
1785776820,28831,28833,28826.25,28828.25,28614.593514702483,28741.75240461668,28487.434624788286
1785776880,28827.75,28829.5,28823.25,28829.25,28614.727073708287,28741.95768148039,28487.496465936183
1785776940,28829,28842.5,28828.75,28836.75,28615.087362218037,28742.527003897183,28487.64772053889
1785777000,28836.5,28854,28835.75,28852.75,28615.633241742973,28743.419343638852,28487.847139847094
1785777060,28852.75,28863.25,28852.25,28857.25,28616.25933944809,28744.47058975521,28488.04808914097
1785777120,28857.75,28862.25,28857.25,28858,28616.520878173927,28744.910468948558,28488.131287399297
1785777180,28857.25,28862.5,28855.5,28860.5,28616.75790848795,28745.308847567027,28488.206969408875
1785777240,28860.5,28862.75,28857.25,28857.5,28616.93446452515,28745.604878466496,28488.264050583806
1785777300,28857.25,28867,28855.75,28857.75,28617.339594486035,28746.28483861453,28488.39435035754
1785777360,28858,28862.5,28856,28858.5,28617.55095694057,28746.637621428905,28488.464292452234
1785777420,28858.25,28862.5,28855.5,28861.25,28617.723989675767,28746.92670120787,28488.521278143664
1785777480,28861,28871.5,28857.75,28868.75,28618.141114211125,28747.635061855024,28488.647166567225
1785777540,28868.5,28871,28860.75,28870.5,28618.44042252804,28748.144195669727,28488.736649386356
1785777600,28870,28870.5,28860.5,28861.25,28618.67753925567,28748.54292894936,28488.81214956198
1785777660,28861.75,28869,28860.25,28866.5,28618.88894019165,28748.89909762206,28488.87878276124
1785777720,28866.75,28875.75,28866.25,28874.5,28619.265117601688,28749.544327224103,28488.985907979273
1785777780,28874.5,28882.5,28874,28878.25,28619.666038445263,28750.241953760094,28489.09012313043
1785777840,28878,28881.75,28876.75,28878.75,28619.908630237627,28750.664123788647,28489.153136686607
1785777900,28878.5,28880.25,28874,28874,28620.16113837868,28751.09917424832,28489.22310250904
1785777960,28874.25,28882,28872.5,28881.75,28620.400613051523,28751.514151247186,28489.28707485586
1785778020,28881.75,28890.5,28880,28881.25,28620.928416100887,28752.439381748834,28489.41745045294
1785778080,28881.5,28887,28879,28880.5,28621.21031493915,28752.929844322487,28489.490785555816
1785778140,28880.5,28886.25,28880.5,28885.5,28621.354789233075,28753.182162757726,28489.527415708424
1785778200,28885.5,28889.75,28885,28886.25,28621.599405797522,28753.612189364696,28489.58662223035
1785778260,28886.25,28887.75,28877.25,28881.5,28621.857278450672,28754.058846311473,28489.655710589872
1785778320,28881.25,28883.5,28875,28880.5,28622.07521761226,28754.433139220382,28489.717296004135
1785778380,28880.75,28889.5,28877,28885.5,28622.347044285503,28754.904815713046,28489.78927285796
1785778440,28885.5,28895,28883.5,28891.25,28622.689951382345,28755.508164189596,28489.871738575093
1785778500,28891.25,28893.5,28886.5,28891,28622.972295373835,28756.004456239683,28489.940134507986
1785778560,28891.75,28894.25,28886.25,28887,28623.1807924268,28756.369198318996,28489.992386534603
1785778620,28887,28890,28883.75,28885.25,28623.41239963372,28756.77068835771,28490.05411090973
1785778680,28885,28887.25,28879.25,28884.75,28623.67348443073,28757.219355648755,28490.127613212702
1785778740,28885.25,28885.5,28877.25,28879,28623.901934766352,28757.607880073316,28490.19598945939
1785778800,28878.75,28882.5,28874,28881.5,28624.174729567065,28758.06943906348,28490.280020070648
1785778860,28881.75,28884.75,28878.75,28883.5,28624.34089287336,28758.352545043213,28490.329240703504
1785778920,28883.5,28888.25,28882.5,28885.25,28624.562506528586,28758.73278587481,28490.39222718236
1785778980,28885.25,28887.5,28880.5,28881.5,28624.755903928395,28759.06218548575,28490.44962237104
1785779040,28881.75,28886.25,28879.5,28885.5,28624.902014323357,28759.31117133204,28490.492857314675
1785779100,28885.5,28894.25,28884.75,28889,28625.247842904228,28759.90861282102,28490.587072987437
1785779160,28888.75,28893.75,28888,28890.75,28625.418355550315,28760.203879184846,28490.632831915784
1785779220,28890.5,28899.5,28889.25,28890.25,28625.7273642429,28760.741241943084,28490.713486542714
1785779280,28890.25,28894.75,28887.75,28893.75,28625.964794972897,28761.152378409453,28490.77721153634
1785779340,28894.25,28894.75,28887.75,28892.25,28626.13702938812,28761.449819787143,28490.824238989095
1785779400,28892.75,28897.25,28890,28891,28626.382302887483,28761.874148074334,28490.890457700632
1785779460,28891,28893.75,28890.25,28893,28626.51820316011,28762.108702646532,28490.92770367369
1785779520,28893.25,28896,28891.75,28894.5,28626.65309512339,28762.342406126092,28490.96378412069
1785779580,28894.75,28900,28892.5,28896.5,28626.880230293045,28762.737819118956,28491.022641467134
1785779640,28896.25,28899.5,28895.5,28898.75,28627.069505093892,28763.06825353522,28491.070756652563
1785779700,28898.75,28914.75,28898.25,28910,28627.87783171482,28764.510694563844,28491.244968865798
1785779760,28909.75,28916.5,28909.75,28911,28628.34015268727,28765.342126938984,28491.338178435555
1785779820,28911.5,28919.5,28910.75,28917.75,28628.718585408635,28766.02687084315,28491.41029997412
1785779880,28918,28921.75,28916,28916.75,28629.11180545292,28766.74034366908,28491.483267236763
1785779940,28916.75,28921.5,28915.5,28917.75,28629.345231983014,28767.16308517563,28491.527378790397
1785780000,28917.5,28930,28917.25,28924.5,28630.014968553445,28768.38914687788,28491.640790229012
1785780060,28924.5,28933.25,28923.25,28925.25,28630.51085333132,28769.30068557948,28491.72102108316
1785780120,28925,28934.5,28925,28932,28630.95707749657,28770.124704136535,28491.789450856602
1785780180,28931.75,28937,28929.5,28936.25,28631.417668654612,28770.980191726867,28491.855145582358
1785780240,28936.25,28948,28935.5,28945.75,28632.24716183838,28772.54575324452,28491.948570432236
1785780300,28945.5,28958.5,28945.5,28954.25,28633.17308182396,28774.320990036307,28492.02517361161
1785780360,28954.5,28957.5,28948.5,28954.25,28633.68687560154,28775.3027061125,28492.07104509058
1785780420,28954.25,28957,28947.25,28948.5,28634.12013130005,28776.123325757846,28492.116936842252
1785780480,28948.75,28955.75,28939.75,28955.25,28634.709816921797,28777.234771216234,28492.18486262736
1785780540,28955.5,28958,28952.75,28953.75,28635.098793374862,28777.973036659823,28492.2245500899
1785780600,28954.5,28965,28952.5,28961.75,28635.7350485622,28779.18957047668,28492.280526647723
1785780660,28961.75,28961.75,28943.25,28944.5,28636.336636698685,28780.310178337437,28492.363095059933
1785780720,28944,28949.5,28934.25,28944.75,28637.07604974724,28781.659780127397,28492.492319367084
1785780780,28944.5,28949.75,28937.25,28941.25,28637.517448937782,28782.46225928968,28492.572638585883
1785780840,28941.5,28944.75,28939,28940.25,28637.752903403427,28782.88799784573,28492.617808961124
1785780900,28940.5,28954.5,28940.25,28950.25,28638.254745351405,28783.808069398794,28492.701421304017
1785780960,28950.25,28955,28949.5,28954,28638.541497895923,28784.337870764222,28492.745125027624
1785781020,28954,28959.5,28944.25,28944.75,28638.907023474225,28785.006733693503,28492.807313254947
1785781080,28945.25,28947,28931.5,28935.75,28639.39969379876,28785.882210444688,28492.917177152834
1785781140,28935.5,28935.75,28925.5,28928.25,28639.822263771006,28786.616195329614,28493.028332212398
1785781200,28928.25,28931.25,28919,28926.75,28640.355016589896,28787.52939347503,28493.180639704762
1785781260,28926.75,28934,28920.25,28927.25,28640.801290198226,28788.29499006488,28493.307590331573
1785781320,28927,28934.5,28924,28932.5,28641.104346386208,28788.817831174092,28493.390861598324
1785781380,28932.5,28934.75,28928.75,28934,28641.29778805167,28789.15285088169,28493.442725221652
1785781440,28934,28934,28919.5,28921.25,28641.590865912145,28789.65019832128,28493.53153350301
1785781500,28920.75,28927.25,28913.5,28917.5,28641.999112508325,28790.331874896954,28493.666350119696
1785781560,28917.5,28918,28908.75,28910,28642.335116017486,28790.88121948604,28493.789012548932
1785781620,28909.75,28909.75,28896.5,28903,28642.95465722762,28791.866296510372,28494.043017944867
1785781680,28902.75,28904.25,28891.5,28893.75,28643.421929509244,28792.593192772318,28494.25066624617
1785781740,28893.5,28899.25,28890.25,28892.75,28643.719535212735,28793.051902791947,28494.387167633522
1785781800,28891.75,28907,28889.75,28891.25,28644.32390340437,28793.986317953644,28494.661488855094
1785781860,28891.5,28898,28886,28896.75,28644.698807369365,28794.560265635002,28494.837349103727
1785781920,28896.75,28901,28893.75,28899.75,28644.956126441466,28794.958836024674,28494.953416858258
1785781980,28899.75,28903.25,28887.25,28890.25,28645.311660962896,28795.50122813042,28495.122093795373
1785782040,28890.5,28900.25,28884.75,28893.25,28645.685059390915,28796.06830347447,28495.30181530736
1785782100,28893,28897.75,28890.5,28895.25,28645.8631557763,28796.339778569934,28495.386532982666
1785782160,28895.25,28899.5,28882.25,28889.25,28646.18404543875,28796.822147135244,28495.545943742254
1785782220,28889.5,28892,28883,28891.75,28646.422681022654,28797.178763985095,28495.666598060212
1785782280,28891.75,28898.75,28884.25,28898.5,28646.669418647758,28797.55253770389,28495.786299591626
1785782340,28898,28902.75,28887.25,28890,28647.04355772262,28798.117484250844,28495.969631194395
1785782400,28890,28894.5,28885.75,28894.5,28647.243350024466,28798.417096270736,28496.069603778196
1785782460,28894.5,28903.5,28887.75,28902.75,28647.488577122625,28798.79153213309,28496.18562211216
1785782520,28903,28905.25,28896.5,28898.5,28647.789435994546,28799.253036593404,28496.325835395688
1785782580,28898.25,28906.5,28897.5,28905.5,28647.98905498908,28799.561573257575,28496.416536720586
1785782640,28905.5,28914.25,28905.25,28913.25,28648.376387139164,28800.172546745685,28496.580227532642
1785782700,28913.25,28923,28904.25,28907.75,28648.967681467795,28801.10465548211,28496.83070745348
1785782760,28907.75,28909.5,28892.5,28907.75,28649.432979133995,28801.818694743313,28497.047263524677
1785782820,28907.5,28909,28897.75,28901.5,28649.653290750437,28802.15565350051,28497.150928000363
1785782880,28901.25,28914.5,28899.5,28914,28649.89033345715,28802.524668214297,28497.255998700006
1785782940,28914,28922.75,28911.75,28921.5,28650.211009674822,28803.036176534693,28497.38584281495
1785783000,28921.75,28924.75,28911.25,28912.75,28650.565559400933,28803.59694210669,28497.534176695175
1785783060,28912.5,28918.5,28909.5,28915.75,28650.792471301796,28803.953608988562,28497.63133361503
1785783120,28915.75,28922.75,28913.75,28915.75,28651.065659072054,28804.385788604486,28497.74552953962
1785783180,28916.25,28928.75,28914.75,28922.5,28651.403076000723,28804.92535717041,28497.880794831035
1785783240,28921.5,28923.75,28914,28915,28651.617306479,28805.263327182947,28497.97128577505
1785783300,28914.75,28918.5,28911.75,28912.5,28651.78919536356,28805.53171812544,28498.04667260168
1785783360,28912.5,28915.75,28906.75,28907.25,28652.0199497859,28805.887242942226,28498.152656629572
1785783420,28907.25,28912.25,28904,28912.25,28652.22716769066,28806.20574370706,28498.24859167426
